"Time Stamp","Time Zone","Name","PTID","Load"
"05/24/2017 00:00:00","EDT","CAPITL",61757,1057.8
"05/24/2017 00:00:00","EDT","CENTRL",61754,1442.2
"05/24/2017 00:00:00","EDT","DUNWOD",61760,518.7
"05/24/2017 00:00:00","EDT","GENESE",61753,886.8
"05/24/2017 00:00:00","EDT","HUD VL",61758,840.6
"05/24/2017 00:00:00","EDT","LONGIL",61762,1836.5
"05/24/2017 00:00:00","EDT","MHK VL",61756,656.9
"05/24/2017 00:00:00","EDT","MILLWD",61759,219.2
"05/24/2017 00:00:00","EDT","N.Y.C.",61761,4747.1
"05/24/2017 00:00:00","EDT","NORTH",61755,417.9
"05/24/2017 00:00:00","EDT","WEST",61752,1518.3
"05/24/2017 00:05:00","EDT","CAPITL",61757,1052.3
"05/24/2017 00:05:00","EDT","CENTRL",61754,1442.1
"05/24/2017 00:05:00","EDT","DUNWOD",61760,527.5
"05/24/2017 00:05:00","EDT","GENESE",61753,888.4
"05/24/2017 00:05:00","EDT","HUD VL",61758,841.9
"05/24/2017 00:05:00","EDT","LONGIL",61762,1848.4
"05/24/2017 00:05:00","EDT","MHK VL",61756,643.4
"05/24/2017 00:05:00","EDT","MILLWD",61759,220.2
"05/24/2017 00:05:00","EDT","N.Y.C.",61761,4704.7
"05/24/2017 00:05:00","EDT","NORTH",61755,415
"05/24/2017 00:05:00","EDT","WEST",61752,1499.6
"05/24/2017 00:10:00","EDT","CAPITL",61757,1045.1
"05/24/2017 00:10:00","EDT","CENTRL",61754,1435.2
"05/24/2017 00:10:00","EDT","DUNWOD",61760,521.6
"05/24/2017 00:10:00","EDT","GENESE",61753,876.3
"05/24/2017 00:10:00","EDT","HUD VL",61758,823.5
"05/24/2017 00:10:00","EDT","LONGIL",61762,1806.7
"05/24/2017 00:10:00","EDT","MHK VL",61756,635.6
"05/24/2017 00:10:00","EDT","MILLWD",61759,218.8
"05/24/2017 00:10:00","EDT","N.Y.C.",61761,4669.6
"05/24/2017 00:10:00","EDT","NORTH",61755,410.8
"05/24/2017 00:10:00","EDT","WEST",61752,1457.8
"05/24/2017 00:15:00","EDT","CAPITL",61757,1036.6
"05/24/2017 00:15:00","EDT","CENTRL",61754,1435.3
"05/24/2017 00:15:00","EDT","DUNWOD",61760,508.7
"05/24/2017 00:15:00","EDT","GENESE",61753,869.2
"05/24/2017 00:15:00","EDT","HUD VL",61758,828.5
"05/24/2017 00:15:00","EDT","LONGIL",61762,1789.7
"05/24/2017 00:15:00","EDT","MHK VL",61756,630.2
"05/24/2017 00:15:00","EDT","MILLWD",61759,205.8
"05/24/2017 00:15:00","EDT","N.Y.C.",61761,4651
"05/24/2017 00:15:00","EDT","NORTH",61755,412.3
"05/24/2017 00:15:00","EDT","WEST",61752,1469.9
"05/24/2017 00:20:00","EDT","CAPITL",61757,1037.1
"05/24/2017 00:20:00","EDT","CENTRL",61754,1362
"05/24/2017 00:20:00","EDT","DUNWOD",61760,506.1
"05/24/2017 00:20:00","EDT","GENESE",61753,867.3
"05/24/2017 00:20:00","EDT","HUD VL",61758,812.4
"05/24/2017 00:20:00","EDT","LONGIL",61762,1782.5
"05/24/2017 00:20:00","EDT","MHK VL",61756,627.8
"05/24/2017 00:20:00","EDT","MILLWD",61759,225.9
"05/24/2017 00:20:00","EDT","N.Y.C.",61761,4635.4
"05/24/2017 00:20:00","EDT","NORTH",61755,408.8
"05/24/2017 00:20:00","EDT","WEST",61752,1457
"05/24/2017 00:25:00","EDT","CAPITL",61757,1029.2
"05/24/2017 00:25:00","EDT","CENTRL",61754,1351
"05/24/2017 00:25:00","EDT","DUNWOD",61760,510.9
"05/24/2017 00:25:00","EDT","GENESE",61753,868
"05/24/2017 00:25:00","EDT","HUD VL",61758,807.7
"05/24/2017 00:25:00","EDT","LONGIL",61762,1772
"05/24/2017 00:25:00","EDT","MHK VL",61756,626.8
"05/24/2017 00:25:00","EDT","MILLWD",61759,218.3
"05/24/2017 00:25:00","EDT","N.Y.C.",61761,4584.6
"05/24/2017 00:25:00","EDT","NORTH",61755,415.5
"05/24/2017 00:25:00","EDT","WEST",61752,1464.5
"05/24/2017 00:30:00","EDT","CAPITL",61757,1020.9
"05/24/2017 00:30:00","EDT","CENTRL",61754,1396.2
"05/24/2017 00:30:00","EDT","DUNWOD",61760,501.3
"05/24/2017 00:30:00","EDT","GENESE",61753,858.5
"05/24/2017 00:30:00","EDT","HUD VL",61758,822.7
"05/24/2017 00:30:00","EDT","LONGIL",61762,1763
"05/24/2017 00:30:00","EDT","MHK VL",61756,628.9
"05/24/2017 00:30:00","EDT","MILLWD",61759,219.9
"05/24/2017 00:30:00","EDT","N.Y.C.",61761,4595.8
"05/24/2017 00:30:00","EDT","NORTH",61755,411.4
"05/24/2017 00:30:00","EDT","WEST",61752,1437.9
"05/24/2017 00:35:00","EDT","CAPITL",61757,1017.2
"05/24/2017 00:35:00","EDT","CENTRL",61754,1394.5
"05/24/2017 00:35:00","EDT","DUNWOD",61760,501
"05/24/2017 00:35:00","EDT","GENESE",61753,856.6
"05/24/2017 00:35:00","EDT","HUD VL",61758,816.7
"05/24/2017 00:35:00","EDT","LONGIL",61762,1751.6
"05/24/2017 00:35:00","EDT","MHK VL",61756,619.8
"05/24/2017 00:35:00","EDT","MILLWD",61759,204.8
"05/24/2017 00:35:00","EDT","N.Y.C.",61761,4549.1
"05/24/2017 00:35:00","EDT","NORTH",61755,419
"05/24/2017 00:35:00","EDT","WEST",61752,1458.3
"05/24/2017 00:40:00","EDT","CAPITL",61757,1024
"05/24/2017 00:40:00","EDT","CENTRL",61754,1394.4
"05/24/2017 00:40:00","EDT","DUNWOD",61760,504.9
"05/24/2017 00:40:00","EDT","GENESE",61753,851.2
"05/24/2017 00:40:00","EDT","HUD VL",61758,793.7
"05/24/2017 00:40:00","EDT","LONGIL",61762,1760.6
"05/24/2017 00:40:00","EDT","MHK VL",61756,617
"05/24/2017 00:40:00","EDT","MILLWD",61759,208.8
"05/24/2017 00:40:00","EDT","N.Y.C.",61761,4514
"05/24/2017 00:40:00","EDT","NORTH",61755,418.4
"05/24/2017 00:40:00","EDT","WEST",61752,1441.3
"05/24/2017 00:45:00","EDT","CAPITL",61757,1019.7
"05/24/2017 00:45:00","EDT","CENTRL",61754,1385.4
"05/24/2017 00:45:00","EDT","DUNWOD",61760,487.2
"05/24/2017 00:45:00","EDT","GENESE",61753,848.3
"05/24/2017 00:45:00","EDT","HUD VL",61758,809.6
"05/24/2017 00:45:00","EDT","LONGIL",61762,1737.8
"05/24/2017 00:45:00","EDT","MHK VL",61756,613.1
"05/24/2017 00:45:00","EDT","MILLWD",61759,200.6
"05/24/2017 00:45:00","EDT","N.Y.C.",61761,4498.6
"05/24/2017 00:45:00","EDT","NORTH",61755,411.3
"05/24/2017 00:45:00","EDT","WEST",61752,1443.4
"05/24/2017 00:50:00","EDT","CAPITL",61757,1016.6
"05/24/2017 00:50:00","EDT","CENTRL",61754,1376.5
"05/24/2017 00:50:00","EDT","DUNWOD",61760,487.5
"05/24/2017 00:50:00","EDT","GENESE",61753,847.5
"05/24/2017 00:50:00","EDT","HUD VL",61758,797.4
"05/24/2017 00:50:00","EDT","LONGIL",61762,1734.2
"05/24/2017 00:50:00","EDT","MHK VL",61756,603.4
"05/24/2017 00:50:00","EDT","MILLWD",61759,198.8
"05/24/2017 00:50:00","EDT","N.Y.C.",61761,4477.5
"05/24/2017 00:50:00","EDT","NORTH",61755,410.9
"05/24/2017 00:50:00","EDT","WEST",61752,1432.4
"05/24/2017 00:55:00","EDT","CAPITL",61757,1006
"05/24/2017 00:55:00","EDT","CENTRL",61754,1374.4
"05/24/2017 00:55:00","EDT","DUNWOD",61760,480.4
"05/24/2017 00:55:00","EDT","GENESE",61753,839.7
"05/24/2017 00:55:00","EDT","HUD VL",61758,786.5
"05/24/2017 00:55:00","EDT","LONGIL",61762,1726.9
"05/24/2017 00:55:00","EDT","MHK VL",61756,610.4
"05/24/2017 00:55:00","EDT","MILLWD",61759,209.7
"05/24/2017 00:55:00","EDT","N.Y.C.",61761,4452.5
"05/24/2017 00:55:00","EDT","NORTH",61755,413.2
"05/24/2017 00:55:00","EDT","WEST",61752,1446.9
"05/24/2017 01:00:00","EDT","CAPITL",61757,999.8
"05/24/2017 01:00:00","EDT","CENTRL",61754,1377.8
"05/24/2017 01:00:00","EDT","DUNWOD",61760,475.2
"05/24/2017 01:00:00","EDT","GENESE",61753,838.1
"05/24/2017 01:00:00","EDT","HUD VL",61758,788.7
"05/24/2017 01:00:00","EDT","LONGIL",61762,1727.3
"05/24/2017 01:00:00","EDT","MHK VL",61756,604.9
"05/24/2017 01:00:00","EDT","MILLWD",61759,202.7
"05/24/2017 01:00:00","EDT","N.Y.C.",61761,4417.5
"05/24/2017 01:00:00","EDT","NORTH",61755,412
"05/24/2017 01:00:00","EDT","WEST",61752,1425.5
"05/24/2017 01:05:00","EDT","CAPITL",61757,1005.2
"05/24/2017 01:05:00","EDT","CENTRL",61754,1382
"05/24/2017 01:05:00","EDT","DUNWOD",61760,474.1
"05/24/2017 01:05:00","EDT","GENESE",61753,838.5
"05/24/2017 01:05:00","EDT","HUD VL",61758,774.3
"05/24/2017 01:05:00","EDT","LONGIL",61762,1705.3
"05/24/2017 01:05:00","EDT","MHK VL",61756,598.6
"05/24/2017 01:05:00","EDT","MILLWD",61759,223.2
"05/24/2017 01:05:00","EDT","N.Y.C.",61761,4402.1
"05/24/2017 01:05:00","EDT","NORTH",61755,413.5
"05/24/2017 01:05:00","EDT","WEST",61752,1417.3
"05/24/2017 01:10:00","EDT","CAPITL",61757,996.1
"05/24/2017 01:10:00","EDT","CENTRL",61754,1388.3
"05/24/2017 01:10:00","EDT","DUNWOD",61760,477.7
"05/24/2017 01:10:00","EDT","GENESE",61753,833
"05/24/2017 01:10:00","EDT","HUD VL",61758,783.1
"05/24/2017 01:10:00","EDT","LONGIL",61762,1700.8
"05/24/2017 01:10:00","EDT","MHK VL",61756,593.1
"05/24/2017 01:10:00","EDT","MILLWD",61759,199.6
"05/24/2017 01:10:00","EDT","N.Y.C.",61761,4401.8
"05/24/2017 01:10:00","EDT","NORTH",61755,413.5
"05/24/2017 01:10:00","EDT","WEST",61752,1419.7
"05/24/2017 01:15:00","EDT","CAPITL",61757,985.6
"05/24/2017 01:15:00","EDT","CENTRL",61754,1360.1
"05/24/2017 01:15:00","EDT","DUNWOD",61760,476
"05/24/2017 01:15:00","EDT","GENESE",61753,831.5
"05/24/2017 01:15:00","EDT","HUD VL",61758,765.4
"05/24/2017 01:15:00","EDT","LONGIL",61762,1682.1
"05/24/2017 01:15:00","EDT","MHK VL",61756,620.6
"05/24/2017 01:15:00","EDT","MILLWD",61759,202.9
"05/24/2017 01:15:00","EDT","N.Y.C.",61761,4374.1
"05/24/2017 01:15:00","EDT","NORTH",61755,410.7
"05/24/2017 01:15:00","EDT","WEST",61752,1412.3
"05/24/2017 01:20:00","EDT","CAPITL",61757,991.8
"05/24/2017 01:20:00","EDT","CENTRL",61754,1308.9
"05/24/2017 01:20:00","EDT","DUNWOD",61760,477.4
"05/24/2017 01:20:00","EDT","GENESE",61753,829.9
"05/24/2017 01:20:00","EDT","HUD VL",61758,765.7
"05/24/2017 01:20:00","EDT","LONGIL",61762,1680.8
"05/24/2017 01:20:00","EDT","MHK VL",61756,595.5
"05/24/2017 01:20:00","EDT","MILLWD",61759,213.6
"05/24/2017 01:20:00","EDT","N.Y.C.",61761,4360.8
"05/24/2017 01:20:00","EDT","NORTH",61755,411.5
"05/24/2017 01:20:00","EDT","WEST",61752,1404.3
"05/24/2017 01:25:00","EDT","CAPITL",61757,989.3
"05/24/2017 01:25:00","EDT","CENTRL",61754,1362.1
"05/24/2017 01:25:00","EDT","DUNWOD",61760,463
"05/24/2017 01:25:00","EDT","GENESE",61753,821.7
"05/24/2017 01:25:00","EDT","HUD VL",61758,771
"05/24/2017 01:25:00","EDT","LONGIL",61762,1675.2
"05/24/2017 01:25:00","EDT","MHK VL",61756,603.3
"05/24/2017 01:25:00","EDT","MILLWD",61759,214.9
"05/24/2017 01:25:00","EDT","N.Y.C.",61761,4353.2
"05/24/2017 01:25:00","EDT","NORTH",61755,410
"05/24/2017 01:25:00","EDT","WEST",61752,1403.9
"05/24/2017 01:30:00","EDT","CAPITL",61757,984.4
"05/24/2017 01:30:00","EDT","CENTRL",61754,1361.3
"05/24/2017 01:30:00","EDT","DUNWOD",61760,465.8
"05/24/2017 01:30:00","EDT","GENESE",61753,825.4
"05/24/2017 01:30:00","EDT","HUD VL",61758,779.6
"05/24/2017 01:30:00","EDT","LONGIL",61762,1681.8
"05/24/2017 01:30:00","EDT","MHK VL",61756,593.9
"05/24/2017 01:30:00","EDT","MILLWD",61759,205.8
"05/24/2017 01:30:00","EDT","N.Y.C.",61761,4330.4
"05/24/2017 01:30:00","EDT","NORTH",61755,405.2
"05/24/2017 01:30:00","EDT","WEST",61752,1383.5
"05/24/2017 01:35:00","EDT","CAPITL",61757,976.6
"05/24/2017 01:35:00","EDT","CENTRL",61754,1301
"05/24/2017 01:35:00","EDT","DUNWOD",61760,461.7
"05/24/2017 01:35:00","EDT","GENESE",61753,819.8
"05/24/2017 01:35:00","EDT","HUD VL",61758,762.6
"05/24/2017 01:35:00","EDT","LONGIL",61762,1673.5
"05/24/2017 01:35:00","EDT","MHK VL",61756,613.1
"05/24/2017 01:35:00","EDT","MILLWD",61759,207.5
"05/24/2017 01:35:00","EDT","N.Y.C.",61761,4299.6
"05/24/2017 01:35:00","EDT","NORTH",61755,406.7
"05/24/2017 01:35:00","EDT","WEST",61752,1418.7
"05/24/2017 01:40:00","EDT","CAPITL",61757,983.3
"05/24/2017 01:40:00","EDT","CENTRL",61754,1355.7
"05/24/2017 01:40:00","EDT","DUNWOD",61760,462.6
"05/24/2017 01:40:00","EDT","GENESE",61753,818.5
"05/24/2017 01:40:00","EDT","HUD VL",61758,773.7
"05/24/2017 01:40:00","EDT","LONGIL",61762,1662
"05/24/2017 01:40:00","EDT","MHK VL",61756,592.6
"05/24/2017 01:40:00","EDT","MILLWD",61759,203
"05/24/2017 01:40:00","EDT","N.Y.C.",61761,4284
"05/24/2017 01:40:00","EDT","NORTH",61755,402.8
"05/24/2017 01:40:00","EDT","WEST",61752,1394.9
"05/24/2017 01:45:00","EDT","CAPITL",61757,988.5
"05/24/2017 01:45:00","EDT","CENTRL",61754,1302.2
"05/24/2017 01:45:00","EDT","DUNWOD",61760,457.8
"05/24/2017 01:45:00","EDT","GENESE",61753,819
"05/24/2017 01:45:00","EDT","HUD VL",61758,768.8
"05/24/2017 01:45:00","EDT","LONGIL",61762,1666.5
"05/24/2017 01:45:00","EDT","MHK VL",61756,587.7
"05/24/2017 01:45:00","EDT","MILLWD",61759,203.7
"05/24/2017 01:45:00","EDT","N.Y.C.",61761,4256.2
"05/24/2017 01:45:00","EDT","NORTH",61755,405.8
"05/24/2017 01:45:00","EDT","WEST",61752,1401.1
"05/24/2017 01:50:00","EDT","CAPITL",61757,976
"05/24/2017 01:50:00","EDT","CENTRL",61754,1347.5
"05/24/2017 01:50:00","EDT","DUNWOD",61760,459.7
"05/24/2017 01:50:00","EDT","GENESE",61753,817.4
"05/24/2017 01:50:00","EDT","HUD VL",61758,769
"05/24/2017 01:50:00","EDT","LONGIL",61762,1669.6
"05/24/2017 01:50:00","EDT","MHK VL",61756,577.7
"05/24/2017 01:50:00","EDT","MILLWD",61759,201
"05/24/2017 01:50:00","EDT","N.Y.C.",61761,4275.9
"05/24/2017 01:50:00","EDT","NORTH",61755,405.3
"05/24/2017 01:50:00","EDT","WEST",61752,1391.2
