"Time Stamp","Time Zone","Name","PTID","Load"
"05/12/2017 00:00:00","EDT","CAPITL",61757,974
"05/12/2017 00:00:00","EDT","CENTRL",61754,1404.2
"05/12/2017 00:00:00","EDT","DUNWOD",61760,499.1
"05/12/2017 00:00:00","EDT","GENESE",61753,894.3
"05/12/2017 00:00:00","EDT","HUD VL",61758,834.8
"05/12/2017 00:00:00","EDT","LONGIL",61762,1733.4
"05/12/2017 00:00:00","EDT","MHK VL",61756,690.3
"05/12/2017 00:00:00","EDT","MILLWD",61759,240.2
"05/12/2017 00:00:00","EDT","N.Y.C.",61761,4595.5
"05/12/2017 00:00:00","EDT","NORTH",61755,426.9
"05/12/2017 00:00:00","EDT","WEST",61752,1506.1
"05/12/2017 00:05:00","EDT","CAPITL",61757,969.5
"05/12/2017 00:05:00","EDT","CENTRL",61754,1384
"05/12/2017 00:05:00","EDT","DUNWOD",61760,486.6
"05/12/2017 00:05:00","EDT","GENESE",61753,881.3
"05/12/2017 00:05:00","EDT","HUD VL",61758,829
"05/12/2017 00:05:00","EDT","LONGIL",61762,1722.6
"05/12/2017 00:05:00","EDT","MHK VL",61756,684
"05/12/2017 00:05:00","EDT","MILLWD",61759,235.9
"05/12/2017 00:05:00","EDT","N.Y.C.",61761,4574.8
"05/12/2017 00:05:00","EDT","NORTH",61755,430.4
"05/12/2017 00:05:00","EDT","WEST",61752,1521.9
"05/12/2017 00:10:00","EDT","CAPITL",61757,958
"05/12/2017 00:10:00","EDT","CENTRL",61754,1382.1
"05/12/2017 00:10:00","EDT","DUNWOD",61760,486.8
"05/12/2017 00:10:00","EDT","GENESE",61753,875.9
"05/12/2017 00:10:00","EDT","HUD VL",61758,851.1
"05/12/2017 00:10:00","EDT","LONGIL",61762,1718.6
"05/12/2017 00:10:00","EDT","MHK VL",61756,691
"05/12/2017 00:10:00","EDT","MILLWD",61759,241.8
"05/12/2017 00:10:00","EDT","N.Y.C.",61761,4523.5
"05/12/2017 00:10:00","EDT","NORTH",61755,421.6
"05/12/2017 00:10:00","EDT","WEST",61752,1480.6
"05/12/2017 00:15:00","EDT","CAPITL",61757,959.9
"05/12/2017 00:15:00","EDT","CENTRL",61754,1384.1
"05/12/2017 00:15:00","EDT","DUNWOD",61760,489
"05/12/2017 00:15:00","EDT","GENESE",61753,876.4
"05/12/2017 00:15:00","EDT","HUD VL",61758,839.8
"05/12/2017 00:15:00","EDT","LONGIL",61762,1690.3
"05/12/2017 00:15:00","EDT","MHK VL",61756,679.1
"05/12/2017 00:15:00","EDT","MILLWD",61759,232.6
"05/12/2017 00:15:00","EDT","N.Y.C.",61761,4516.6
"05/12/2017 00:15:00","EDT","NORTH",61755,420
"05/12/2017 00:15:00","EDT","WEST",61752,1475
"05/12/2017 00:20:00","EDT","CAPITL",61757,946.2
"05/12/2017 00:20:00","EDT","CENTRL",61754,1363.3
"05/12/2017 00:20:00","EDT","DUNWOD",61760,495.6
"05/12/2017 00:20:00","EDT","GENESE",61753,868.3
"05/12/2017 00:20:00","EDT","HUD VL",61758,795.9
"05/12/2017 00:20:00","EDT","LONGIL",61762,1690.6
"05/12/2017 00:20:00","EDT","MHK VL",61756,691.9
"05/12/2017 00:20:00","EDT","MILLWD",61759,242.2
"05/12/2017 00:20:00","EDT","N.Y.C.",61761,4476.9
"05/12/2017 00:20:00","EDT","NORTH",61755,425.8
"05/12/2017 00:20:00","EDT","WEST",61752,1501.1
"05/12/2017 00:25:00","EDT","CAPITL",61757,956.1
"05/12/2017 00:25:00","EDT","CENTRL",61754,1374
"05/12/2017 00:25:00","EDT","DUNWOD",61760,474.8
"05/12/2017 00:25:00","EDT","GENESE",61753,867.9
"05/12/2017 00:25:00","EDT","HUD VL",61758,806.9
"05/12/2017 00:25:00","EDT","LONGIL",61762,1673.5
"05/12/2017 00:25:00","EDT","MHK VL",61756,678.1
"05/12/2017 00:25:00","EDT","MILLWD",61759,239.2
"05/12/2017 00:25:00","EDT","N.Y.C.",61761,4464.5
"05/12/2017 00:25:00","EDT","NORTH",61755,425.9
"05/12/2017 00:25:00","EDT","WEST",61752,1476.9
"05/12/2017 00:30:00","EDT","CAPITL",61757,941.2
"05/12/2017 00:30:00","EDT","CENTRL",61754,1375.4
"05/12/2017 00:30:00","EDT","DUNWOD",61760,465.2
"05/12/2017 00:30:00","EDT","GENESE",61753,857
"05/12/2017 00:30:00","EDT","HUD VL",61758,790.7
"05/12/2017 00:30:00","EDT","LONGIL",61762,1675.2
"05/12/2017 00:30:00","EDT","MHK VL",61756,675.8
"05/12/2017 00:30:00","EDT","MILLWD",61759,238.5
"05/12/2017 00:30:00","EDT","N.Y.C.",61761,4449.3
"05/12/2017 00:30:00","EDT","NORTH",61755,425.4
"05/12/2017 00:30:00","EDT","WEST",61752,1484.7
"05/12/2017 00:35:00","EDT","CAPITL",61757,950.3
"05/12/2017 00:35:00","EDT","CENTRL",61754,1366.8
"05/12/2017 00:35:00","EDT","DUNWOD",61760,459.1
"05/12/2017 00:35:00","EDT","GENESE",61753,860.9
"05/12/2017 00:35:00","EDT","HUD VL",61758,817.9
"05/12/2017 00:35:00","EDT","LONGIL",61762,1675.5
"05/12/2017 00:35:00","EDT","MHK VL",61756,669.1
"05/12/2017 00:35:00","EDT","MILLWD",61759,244.8
"05/12/2017 00:35:00","EDT","N.Y.C.",61761,4409.9
"05/12/2017 00:35:00","EDT","NORTH",61755,430.6
"05/12/2017 00:35:00","EDT","WEST",61752,1483.7
"05/12/2017 00:40:00","EDT","CAPITL",61757,939.3
"05/12/2017 00:40:00","EDT","CENTRL",61754,1374
"05/12/2017 00:40:00","EDT","DUNWOD",61760,451.5
"05/12/2017 00:40:00","EDT","GENESE",61753,852.7
"05/12/2017 00:40:00","EDT","HUD VL",61758,822.8
"05/12/2017 00:40:00","EDT","LONGIL",61762,1653.4
"05/12/2017 00:40:00","EDT","MHK VL",61756,677.1
"05/12/2017 00:40:00","EDT","MILLWD",61759,244
"05/12/2017 00:40:00","EDT","N.Y.C.",61761,4417.6
"05/12/2017 00:40:00","EDT","NORTH",61755,419.4
"05/12/2017 00:40:00","EDT","WEST",61752,1476.9
"05/12/2017 00:45:00","EDT","CAPITL",61757,946.3
"05/12/2017 00:45:00","EDT","CENTRL",61754,1356.9
"05/12/2017 00:45:00","EDT","DUNWOD",61760,462.3
"05/12/2017 00:45:00","EDT","GENESE",61753,851.5
"05/12/2017 00:45:00","EDT","HUD VL",61758,804.1
"05/12/2017 00:45:00","EDT","LONGIL",61762,1639.3
"05/12/2017 00:45:00","EDT","MHK VL",61756,677.7
"05/12/2017 00:45:00","EDT","MILLWD",61759,229.7
"05/12/2017 00:45:00","EDT","N.Y.C.",61761,4365.1
"05/12/2017 00:45:00","EDT","NORTH",61755,406.5
"05/12/2017 00:45:00","EDT","WEST",61752,1475.7
"05/12/2017 00:50:00","EDT","CAPITL",61757,940.7
"05/12/2017 00:50:00","EDT","CENTRL",61754,1350.4
"05/12/2017 00:50:00","EDT","DUNWOD",61760,458.6
"05/12/2017 00:50:00","EDT","GENESE",61753,854.9
"05/12/2017 00:50:00","EDT","HUD VL",61758,797.9
"05/12/2017 00:50:00","EDT","LONGIL",61762,1648.5
"05/12/2017 00:50:00","EDT","MHK VL",61756,672
"05/12/2017 00:50:00","EDT","MILLWD",61759,228.9
"05/12/2017 00:50:00","EDT","N.Y.C.",61761,4342.7
"05/12/2017 00:50:00","EDT","NORTH",61755,407.7
"05/12/2017 00:50:00","EDT","WEST",61752,1445.4
"05/12/2017 00:55:00","EDT","CAPITL",61757,936
"05/12/2017 00:55:00","EDT","CENTRL",61754,1351.6
"05/12/2017 00:55:00","EDT","DUNWOD",61760,463
"05/12/2017 00:55:00","EDT","GENESE",61753,843.7
"05/12/2017 00:55:00","EDT","HUD VL",61758,789
"05/12/2017 00:55:00","EDT","LONGIL",61762,1665.5
"05/12/2017 00:55:00","EDT","MHK VL",61756,661.3
"05/12/2017 00:55:00","EDT","MILLWD",61759,226.7
"05/12/2017 00:55:00","EDT","N.Y.C.",61761,4326.2
"05/12/2017 00:55:00","EDT","NORTH",61755,431.8
"05/12/2017 00:55:00","EDT","WEST",61752,1463
"05/12/2017 01:00:00","EDT","CAPITL",61757,928.7
"05/12/2017 01:00:00","EDT","CENTRL",61754,1349.2
"05/12/2017 01:00:00","EDT","DUNWOD",61760,465.3
"05/12/2017 01:00:00","EDT","GENESE",61753,849.8
"05/12/2017 01:00:00","EDT","HUD VL",61758,781.6
"05/12/2017 01:00:00","EDT","LONGIL",61762,1620.9
"05/12/2017 01:00:00","EDT","MHK VL",61756,663.6
"05/12/2017 01:00:00","EDT","MILLWD",61759,216.3
"05/12/2017 01:00:00","EDT","N.Y.C.",61761,4295.6
"05/12/2017 01:00:00","EDT","NORTH",61755,423.7
"05/12/2017 01:00:00","EDT","WEST",61752,1445.9
"05/12/2017 01:05:00","EDT","CAPITL",61757,927.5
"05/12/2017 01:05:00","EDT","CENTRL",61754,1349.4
"05/12/2017 01:05:00","EDT","DUNWOD",61760,460.6
"05/12/2017 01:05:00","EDT","GENESE",61753,846.9
"05/12/2017 01:05:00","EDT","HUD VL",61758,780.3
"05/12/2017 01:05:00","EDT","LONGIL",61762,1625.5
"05/12/2017 01:05:00","EDT","MHK VL",61756,649.5
"05/12/2017 01:05:00","EDT","MILLWD",61759,227.4
"05/12/2017 01:05:00","EDT","N.Y.C.",61761,4288.9
"05/12/2017 01:05:00","EDT","NORTH",61755,411.9
"05/12/2017 01:05:00","EDT","WEST",61752,1447.9
"05/12/2017 01:10:00","EDT","CAPITL",61757,924.4
"05/12/2017 01:10:00","EDT","CENTRL",61754,1361.7
"05/12/2017 01:10:00","EDT","DUNWOD",61760,456.5
"05/12/2017 01:10:00","EDT","GENESE",61753,839
