"Time Stamp","Time Zone","Name","PTID","Load"
"05/22/2017 00:00:00","EDT","CAPITL",61757,1001.7
"05/22/2017 00:00:00","EDT","CENTRL",61754,1396.7
"05/22/2017 00:00:00","EDT","DUNWOD",61760,505.7
"05/22/2017 00:00:00","EDT","GENESE",61753,804
"05/22/2017 00:00:00","EDT","HUD VL",61758,807.9
"05/22/2017 00:00:00","EDT","LONGIL",61762,1756.8
"05/22/2017 00:00:00","EDT","MHK VL",61756,638
"05/22/2017 00:00:00","EDT","MILLWD",61759,198.4
"05/22/2017 00:00:00","EDT","N.Y.C.",61761,4606.8
"05/22/2017 00:00:00","EDT","NORTH",61755,412.8
"05/22/2017 00:00:00","EDT","WEST",61752,1425.5
"05/22/2017 00:05:00","EDT","CAPITL",61757,987.9
"05/22/2017 00:05:00","EDT","CENTRL",61754,1404.7
"05/22/2017 00:05:00","EDT","DUNWOD",61760,504.6
"05/22/2017 00:05:00","EDT","GENESE",61753,792.8
"05/22/2017 00:05:00","EDT","HUD VL",61758,806.1
"05/22/2017 00:05:00","EDT","LONGIL",61762,1756.4
"05/22/2017 00:05:00","EDT","MHK VL",61756,632.3
"05/22/2017 00:05:00","EDT","MILLWD",61759,190.4
"05/22/2017 00:05:00","EDT","N.Y.C.",61761,4546.5
"05/22/2017 00:05:00","EDT","NORTH",61755,412.7
"05/22/2017 00:05:00","EDT","WEST",61752,1398.5
"05/22/2017 00:10:00","EDT","CAPITL",61757,986.2
"05/22/2017 00:10:00","EDT","CENTRL",61754,1353.3
"05/22/2017 00:10:00","EDT","DUNWOD",61760,509.8
"05/22/2017 00:10:00","EDT","GENESE",61753,785.1
"05/22/2017 00:10:00","EDT","HUD VL",61758,798.3
"05/22/2017 00:10:00","EDT","LONGIL",61762,1732.2
"05/22/2017 00:10:00","EDT","MHK VL",61756,633.9
"05/22/2017 00:10:00","EDT","MILLWD",61759,190.3
"05/22/2017 00:10:00","EDT","N.Y.C.",61761,4529.7
"05/22/2017 00:10:00","EDT","NORTH",61755,413.6
"05/22/2017 00:10:00","EDT","WEST",61752,1400.2
"05/22/2017 00:15:00","EDT","CAPITL",61757,979.4
"05/22/2017 00:15:00","EDT","CENTRL",61754,1375.2
"05/22/2017 00:15:00","EDT","DUNWOD",61760,494.3
"05/22/2017 00:15:00","EDT","GENESE",61753,771.7
"05/22/2017 00:15:00","EDT","HUD VL",61758,780.2
"05/22/2017 00:15:00","EDT","LONGIL",61762,1725.5
"05/22/2017 00:15:00","EDT","MHK VL",61756,641.5
"05/22/2017 00:15:00","EDT","MILLWD",61759,194
"05/22/2017 00:15:00","EDT","N.Y.C.",61761,4529.5
"05/22/2017 00:15:00","EDT","NORTH",61755,405.7
"05/22/2017 00:15:00","EDT","WEST",61752,1440.2
"05/22/2017 00:20:00","EDT","CAPITL",61757,976.4
"05/22/2017 00:20:00","EDT","CENTRL",61754,1381.5
"05/22/2017 00:20:00","EDT","DUNWOD",61760,489.8
