"Time Stamp","Time Zone","Name","PTID","Load"
"05/31/2017 00:00:00","EDT","CAPITL",61757,1018
"05/31/2017 00:00:00","EDT","CENTRL",61754,1470.8
"05/31/2017 00:00:00","EDT","DUNWOD",61760,520
"05/31/2017 00:00:00","EDT","GENESE",61753,918.3
"05/31/2017 00:00:00","EDT","HUD VL",61758,829.1
"05/31/2017 00:00:00","EDT","LONGIL",61762,1844.3
"05/31/2017 00:00:00","EDT","MHK VL",61756,613
"05/31/2017 00:00:00","EDT","MILLWD",61759,234.4
"05/31/2017 00:00:00","EDT","N.Y.C.",61761,4660.9
"05/31/2017 00:00:00","EDT","NORTH",61755,415.7
"05/31/2017 00:00:00","EDT","WEST",61752,1493.6
"05/31/2017 00:05:00","EDT","CAPITL",61757,1011.6
"05/31/2017 00:05:00","EDT","CENTRL",61754,1475.1
"05/31/2017 00:05:00","EDT","DUNWOD",61760,515
"05/31/2017 00:05:00","EDT","GENESE",61753,919.5
"05/31/2017 00:05:00","EDT","HUD VL",61758,827.6
"05/31/2017 00:05:00","EDT","LONGIL",61762,1839.2
"05/31/2017 00:05:00","EDT","MHK VL",61756,604.8
"05/31/2017 00:05:00","EDT","MILLWD",61759,238.8
"05/31/2017 00:05:00","EDT","N.Y.C.",61761,4603.1
"05/31/2017 00:05:00","EDT","NORTH",61755,421.9
"05/31/2017 00:05:00","EDT","WEST",61752,1477
"05/31/2017 00:10:00","EDT","CAPITL",61757,1004.4
"05/31/2017 00:10:00","EDT","CENTRL",61754,1435.6
"05/31/2017 00:10:00","EDT","DUNWOD",61760,505.1
"05/31/2017 00:10:00","EDT","GENESE",61753,900
"05/31/2017 00:10:00","EDT","HUD VL",61758,820.1
"05/31/2017 00:10:00","EDT","LONGIL",61762,1824.2
"05/31/2017 00:10:00","EDT","MHK VL",61756,598.9
"05/31/2017 00:10:00","EDT","MILLWD",61759,242.5
"05/31/2017 00:10:00","EDT","N.Y.C.",61761,4585.8
"05/31/2017 00:10:00","EDT","NORTH",61755,414.5
